Date,Open,High,Low,Close,Adj Close,Volume
2018-07-28,1.010000,1.030000,0.997500,1.030000,1.030000,4564192
2018-07-29,1.030000,1.040000,1.000000,1.010000,1.010000,2826387
2018-07-30,1.010000,1.020000,0.950800,0.975100,0.975100,5709301
2018-07-31,0.975100,0.986700,0.930600,0.947900,0.947900,6150287
2018-08-01,0.947900,0.950300,0.901000,0.926600,0.926600,5458769
2018-08-02,0.926600,0.937300,0.873500,0.885000,0.885000,6119607
2018-08-03,0.885000,0.967600,0.773500,0.960000,0.960000,33280456
2018-08-04,0.960000,0.978900,0.833400,0.849000,0.849000,16076022
2018-08-05,0.849000,1.030000,0.845600,0.910800,0.910800,21356157
2018-08-06,0.910800,0.929000,0.750100,0.780900,0.780900,25633216
2018-08-07,0.780900,0.803000,0.677100,0.719800,0.719800,43253511
2018-08-08,0.719800,0.721200,0.594700,0.615000,0.615000,26098913
2018-08-09,0.615000,0.673800,0.595900,0.638300,0.638300,13782460
2018-08-10,0.638300,0.646800,0.543100,0.572300,0.572300,16681963
2018-08-11,0.572300,0.574300,0.501100,0.519100,0.519100,12426806
2018-08-12,0.519100,0.552300,0.514500,0.540300,0.540300,6252844
2018-08-13,0.540300,0.550000,0.453100,0.456200,0.456200,10133376
2018-08-14,0.456200,0.460900,0.403700,0.448200,0.448200,14221948
2018-08-15,0.448200,0.494200,0.436300,0.443000,0.443000,13680950
2018-08-16,0.443000,0.479000,0.431600,0.464900,0.464900,8660438
2018-08-17,0.464900,0.574700,0.462800,0.563700,0.563700,15817131
2018-08-18,0.563700,0.575000,0.465000,0.497100,0.497100,11848705
2018-08-19,0.497100,0.569000,0.481000,0.537700,0.537700,13290424
2018-08-20,0.537700,0.545600,0.486200,0.494500,0.494500,9955757
2018-08-21,0.494500,0.539400,0.494500,0.519000,0.519000,7075083
2018-08-22,0.519000,0.565000,0.457000,0.477500,0.477500,13619682
2018-08-23,0.477500,0.514800,0.475300,0.507100,0.507100,6979221
2018-08-24,0.507100,0.529000,0.492400,0.523700,0.523700,4611981
2018-08-25,0.523700,0.547200,0.519300,0.538400,0.538400,5307616
2018-08-26,0.538400,0.580000,0.517100,0.563800,0.563800,6150703
2018-08-27,0.563800,0.696900,0.558200,0.672700,0.672700,24898695
2018-08-28,0.672700,0.799000,0.654000,0.769000,0.769000,46872811
2018-08-29,0.769000,0.815200,0.708300,0.727600,0.727600,31756828
2018-08-30,0.727600,0.729800,0.656000,0.717500,0.717500,24194878
